"SITE_ID"	"COM_ID"	"VISIT_NO"	"DAY"	"MONTH"	"YEAR"	"LAT"	"LON"	"STATE"	"EPA_REG"	"ECO9"	"HUC2"	"HUC8"	"LAKE_ORIGIN"	"AREA_KM2"	"PERIM_KM"	"ELEVATION_M"	"WGT"
"87"	"NLA12_AZ-154"	"20524689"	NA	NA	NA	NA	35.0984601	-111.530892	"AZ"	"Region_9"	"WMT"	"15"	"15020015"	"NATURAL"	0.08328733734	1.206721338	2200.23	8.518404325
"88"	"NLA12_AZ-155"	"9998886"	NA	NA	NA	NA	33.57273344	-114.5342156	"AZ"	"Region_9"	"XER"	"15"	"15030104"	""	0.3607651429	11.03734516	78.38	3.72925535
"89"	"NLA12_AZ-156"	"21327609"	NA	NA	NA	NA	32.78969299	-109.6890611	"AZ"	"Region_9"	"XER"	"15"	"15040005"	"UNCERTAIN"	0.09725244352	1.419938214	913	8.518404325
"90"	"NLA12_AZ-157"	"20584554"	1	17	8	2012	34.03125525	-109.4431103	"AZ"	"Region_9"	"WMT"	"15"	"15020001"	"MAN_MADE"	0.1728230542	1.614787909	2519.09	4.379421579
"91"	"NLA12_AZ-R01"	"21747615"	1	22	8	2012	34.42742317	-111.0867324	"AZ"	"Region_9"	"WMT"	"15"	"15020008"	"MAN_MADE"	0.2413835303	5.230721276	2220	NA
"92"	"NLA12_AZ-R02"	"21755810"	1	21	8	2012	34.16108989	-109.9796571	"AZ"	"Region_9"	"WMT"	"15"	"15020005"	"MAN_MADE"	0.05148899319	0.908339408	2041.82	NA
"93"	"NLA12_CA-101"	"5329251"	1	9	7	2012	38.07832575	-122.7433592	"CA"	"Region_9"	"XER"	"18"	"18050005"	"MAN_MADE"	3.353416647	32.51425567	51.12	19.19379315
"94"	"NLA12_CA-101"	"5329251"	2	24	9	2012	38.07832575	-122.7433592	"CA"	"Region_9"	"XER"	"18"	"18050005"	"MAN_MADE"	3.353416647	32.51425567	51.12	19.19379315
"95"	"NLA12_CA-102"	"20342929"	1	28	8	2012	33.23504244	-116.7444419	"CA"	"Region_9"	"WMT"	"18"	"18070303"	"MAN_MADE"	7.31021414	20.2000769	818.28	19.19379315
"96"	"NLA12_CA-103"	"14991593"	1	13	8	2012	39.11326334	-120.4389061	"CA"	"Region_9"	"WMT"	"18"	"18020128"	"MAN_MADE"	5.747253533	14.56207055	1592.46	158.1456211
"97"	"NLA12_CA-104"	"20287024"	1	11	9	2012	37.78873902	-119.0738863	"CA"	"Region_9"	"WMT"	"18"	"18090101"	"NATURAL"	1.188169149	4.627384423	2323.16	94.29961191
"98"	"NLA12_CA-105"	"15033533"	1	11	7	2012	38.50847142	-121.5353649	"CA"	"Region_9"	"XER"	"18"	"18020109"	"MAN_MADE"	0.2136925395	3.719279733	3.21	231.9268344
"99"	"NLA12_CA-106"	"22597891"	1	22	5	2012	33.07900474	-115.512784	"CA"	"Region_9"	"XER"	"18"	"18100200"	"MAN_MADE"	0.6278533719	3.204951638	-53.27	231.9268344
"100"	"NLA12_CA-107"	"345449"	1	10	9	2012	38.47629345	-119.9996916	"CA"	"Region_9"	"WMT"	"18"	"18040010"	"MAN_MADE"	0.7001844691	5.032435184	2227.25	92.32876681
"101"	"NLA12_CA-108"	"17114573"	1	8	8	2012	37.14922318	-119.5111573	"CA"	"Region_9"	"XER"	"18"	"18040006"	"MAN_MADE"	0.6977191048	9.869399505	300.34	85.63973104
"102"	"NLA12_CA-109"	"8273047"	NA	NA	NA	NA	38.39202277	-122.7824245	"CA"	"Region_9"	"XER"	"18"	"18010110"	""	0.02148125223	0.600751355	25.07	89.29411765
"103"	"NLA12_CA-110"	"22057309"	NA	NA	NA	NA	36.99547226	-118.7179602	"CA"	"Region_9"	"WMT"	"18"	"18030010"	"NATURAL"	0.06713864315	1.165639641	3180.82	32.21992063
"104"	"NLA12_CA-111"	"15012301"	1	19	7	2012	39.013583	-121.0410833	"CA"	"Region_9"	"XER"	"18"	"18020126"	"MAN_MADE"	1.465493939	14.4411696	488.8	20.86922853
"105"	"NLA12_CA-111"	"15012301"	2	14	8	2012	39.013583	-121.0410833	"CA"	"Region_9"	"XER"	"18"	"18020126"	"MAN_MADE"	1.465493939	14.4411696	488.8	20.86922853
"106"	"NLA12_CA-112"	"8060117"	1	25	7	2012	39.37366934	-121.2786137	"CA"	"Region_9"	"XER"	"18"	"18020125"	"MAN_MADE"	0.2160541441	3.383860377	425.25	13.63456264
"107"	"NLA12_CA-113"	"21606711"	NA	NA	NA	NA	37.58201372	-120.7499359	"CA"	"Region_9"	"XER"	"18"	"18040002"	""	0.0496285778	1.107199123	45.75	32.21992063
"108"	"NLA12_CA-114"	"17117623"	NA	NA	NA	NA	37.11653984	-118.7280171	"CA"	"Region_9"	"WMT"	"18"	"18040006"	"NATURAL"	0.02398230943	0.605147525	3642.97	89.29411765
"109"	"NLA12_CA-115"	"1668831"	NA	NA	NA	NA	38.09268863	-122.2406498	"CA"	"Region_9"	"XER"	"18"	"18050002"	""	0.1171025568	1.396069591	0	17.23202013
"110"	"NLA12_CA-116"	"7964717"	1	12	6	2012	41.22806098	-122.3816476	"CA"	"Region_9"	"WMT"	"18"	"18020005"	"NATURAL"	0.1958614266	1.855488603	1658	17.23202013
"111"	"NLA12_CA-117"	"17160886"	NA	NA	NA	NA	35.92391255	-119.4564833	"CA"	"Region_9"	"XER"	"18"	"18030012"	""	0.02835723157	0.690590787	63.31	89.29411765
